UNIQUE_ID,avg_summer_temp,avg_summer_do,critical_events,sample_count,cluster,risk_category
W1294,14.84,3.08,4,5,0,High Risk
W1295,23.427777777777777,5.977777777777778,4,18,2,Medium Risk
W1296,19.6625,7.1000000000000005,2,8,1,Low Risk
W1298,16.8625,9.1125,1,8,1,Low Risk
W1299,16.442857142857143,8.77142857142857,1,7,1,Low Risk
W1300,14.89,3.8600000000000003,8,10,0,High Risk
W1301,23.0,5.2,3,5,2,Medium Risk
W1303,19.95,4.875,3,8,0,High Risk
W1304,16.2,6.0,4,10,0,High Risk
W1306,21.916666666666668,4.666666666666667,3,6,0,High Risk
W1308,17.0225,5.45,18,40,0,High Risk
W1310,21.761538461538464,6.515384615384615,2,13,2,Medium Risk
W1311,24.12222222222222,7.655555555555556,0,9,2,Medium Risk
W1312,22.7875,8.2,0,8,2,Medium Risk
W1314,22.95,6.916666666666667,0,6,2,Medium Risk
W1315,20.77777777777778,4.266666666666667,6,9,0,High Risk
W1316,22.555555555555557,5.622222222222223,3,9,2,Medium Risk
W1325,17.5375,9.2625,0,8,1,Low Risk
W1334,18.5125,8.9125,0,8,1,Low Risk
W1335,18.47142857142857,8.985714285714286,0,7,1,Low Risk
W1336,18.857142857142858,8.642857142857142,0,7,1,Low Risk
W1337,23.485714285714288,7.042857142857143,0,7,2,Medium Risk
W1339,20.44,8.76,0,5,1,Low Risk
W1340,23.042857142857144,6.828571428571428,0,7,2,Medium Risk
W1344,19.014285714285712,8.842857142857143,0,7,1,Low Risk
W1351,16.759999999999998,9.120000000000001,0,5,1,Low Risk
W1361,19.925,8.325,0,8,1,Low Risk
W1362,17.4625,9.1625,0,16,1,Low Risk
W1363,19.28,7.76,0,5,1,Low Risk
W1377,20.14,6.58,0,5,2,Medium Risk
W1380,21.22,7.56,0,5,2,Medium Risk
W1382,21.380000000000003,7.4,0,5,2,Medium Risk
W1383,20.04,7.08,0,5,1,Low Risk
W1386,20.68,8.14,0,5,1,Low Risk
W1392,20.525,7.3500000000000005,0,8,2,Medium Risk
W1394,22.177777777777777,6.366666666666666,2,9,2,Medium Risk
W1400,25.25714285714286,7.271428571428571,1,7,2,Medium Risk
W1401,23.145454545454545,6.218181818181819,4,11,2,Medium Risk
W1402,25.975,6.9125,1,8,2,Medium Risk
W1403,20.423529411764704,6.758823529411765,4,17,2,Medium Risk
W1432,22.833333333333332,6.8500000000000005,1,6,2,Medium Risk
W1439,18.566666666666666,7.95,0,6,1,Low Risk
W1458,15.86923076923077,9.684615384615386,0,13,1,Low Risk
W1487,22.34,8.3,0,5,2,Medium Risk
W1488,22.22,7.1,1,5,2,Medium Risk
W1489,20.34,8.1,0,5,1,Low Risk
W1490,21.1,8.02,0,5,2,Medium Risk
W1493,20.14,6.459999999999999,0,5,2,Medium Risk
W1494,20.4,6.76,0,5,2,Medium Risk
W1495,20.880000000000003,5.86,1,5,2,Medium Risk
W1498,20.9,6.640000000000001,0,5,2,Medium Risk
W1499,22.14,5.9799999999999995,1,5,2,Medium Risk
W1501,21.06,6.0,2,5,2,Medium Risk
W1503,22.42,4.9,2,5,2,Medium Risk
W1504,22.4,5.76,1,5,2,Medium Risk
W1508,22.759999999999998,6.9,0,5,2,Medium Risk
W1540,16.900000000000002,8.283333333333333,0,6,1,Low Risk
W1541,17.566666666666666,6.8999999999999995,0,6,1,Low Risk
W1542,16.3,8.299999999999999,0,6,1,Low Risk
W1544,19.316666666666666,6.75,1,6,1,Low Risk
W1545,19.16,6.74,0,5,1,Low Risk
W1546,19.616666666666667,7.233333333333333,0,6,1,Low Risk
W1559,20.400000000000002,6.883333333333333,0,6,2,Medium Risk
W1560,20.433333333333334,7.6499999999999995,0,6,1,Low Risk
W1561,18.683333333333334,7.833333333333333,0,6,1,Low Risk
W1566,21.55,7.383333333333333,0,6,2,Medium Risk
W1567,15.58888888888889,9.422222222222222,0,9,1,Low Risk
W1569,19.916666666666668,8.85,0,6,1,Low Risk
W1570,21.333333333333332,8.116666666666667,0,6,2,Medium Risk
W1573,18.466666666666665,8.083333333333334,0,6,1,Low Risk
W1575,20.783333333333335,8.049999999999999,0,6,2,Medium Risk
W1582,21.740000000000002,7.5200000000000005,0,5,2,Medium Risk
W1583,20.82,7.540000000000001,0,5,2,Medium Risk
W1584,18.566666666666666,6.916666666666667,0,6,1,Low Risk
W1585,17.583333333333332,7.466666666666666,0,6,1,Low Risk
W1586,19.683333333333334,7.033333333333334,0,6,1,Low Risk
W1587,21.18,6.44,0,5,2,Medium Risk
