UNIQUE_ID,DO_critical_count,stress_combo_count,flow_flag_count,avg_risk_score,avg_temp,avg_DO,latitude,longitude,total_samples,watershed,DO_critical_rate,stress_combo_rate,risk_rank
W2282,0,0,10,1.7,17.259999999999998,9.41,42.71492884,-72.6693994,10,Deerfield,0.0,0.0,590
W1151,3,0,8,1.7,20.61,6.18,42.15866554,-71.30280984,10,Charles,30.0,0.0,591
W1864,0,0,13,1.6923076923076923,17.153846153846153,9.53076923076923,42.16171173,-72.26845965,13,Chicopee,0.0,0.0,592
W0112,9,0,4,1.6923076923076923,18.93846153846154,4.092307692307693,42.57229149,-71.08984084,13,Ipswich,69.23076923076923,0.0,593
W1567,0,0,13,1.6923076923076923,14.646153846153847,9.746153846153847,42.27325997,-73.26943338,13,Housatonic,0.0,0.0,594
W1315,9,0,4,1.6923076923076923,19.53076923076923,4.4,42.57190512,-72.12740808,13,Millers,69.23076923076923,0.0,595
W2896,0,0,3,1.6666666666666667,17.3,9.4,42.38033448,-72.46510155,3,Connecticut,0.0,0.0,596
W2897,0,0,3,1.6666666666666667,20.366666666666667,8.466666666666667,42.44704256,-72.49190917,3,Connecticut,0.0,0.0,597
W0451,0,0,9,1.6666666666666667,15.377777777777778,7.033333333333334,42.55986066,-70.94856366,9,North Coastal,0.0,0.0,598
W1964,0,0,6,1.6666666666666667,18.783333333333335,7.233333333333333,42.4694106,-71.12510374,6,Mystic,0.0,0.0,599
W2166,0,0,3,1.6666666666666667,16.733333333333334,9.066666666666666,42.26215141,-72.10659989,3,Chicopee,0.0,0.0,600
W2275,0,0,3,1.6666666666666667,19.066666666666666,9.166666666666666,42.62826823,-72.64485764,3,Deerfield,0.0,0.0,601
W0502,0,0,9,1.6666666666666667,20.366666666666667,8.433333333333334,42.2365576,-71.79667946,9,Blackstone,0.0,0.0,602
W1966,0,0,6,1.6666666666666667,18.916666666666668,8.5,42.42231417,-71.14952294,6,Mystic,0.0,0.0,603
W1965,0,0,6,1.6666666666666667,19.866666666666667,7.166666666666667,42.44730903,-71.13871254,6,Mystic,0.0,0.0,604
W0452,0,0,9,1.6666666666666667,16.944444444444443,7.966666666666667,42.55761002,-70.9378767,9,North Coastal,0.0,0.0,605
W2290,0,0,3,1.6666666666666667,15.799999999999999,9.433333333333332,42.04079295,-72.48489555,3,Connecticut,0.0,0.0,606
W2287,0,0,14,1.6666666666666667,18.21333333333333,7.493333333333333,42.69539254,-72.22718449,15,Millers,0.0,0.0,607
W2081,0,0,3,1.6666666666666667,18.433333333333334,7.766666666666667,42.07983422,-72.56556396,3,Connecticut,0.0,0.0,608
W2350,0,0,3,1.6666666666666667,16.533333333333335,9.6,42.09324205,-72.31183457,3,Chicopee,0.0,0.0,609
W1977,0,0,6,1.6666666666666667,16.466666666666665,7.316666666666666,42.43524414,-71.19406671,6,Mystic,0.0,0.0,610
W2904,0,0,3,1.6666666666666667,17.433333333333334,7.333333333333333,42.07493076,-71.7950707,3,Blackstone,0.0,0.0,611
W2164,0,0,3,1.6666666666666667,20.099999999999998,9.700000000000001,42.2354613,-72.27899479,3,Chicopee,0.0,0.0,612
W2911,0,0,3,1.6666666666666667,18.133333333333333,7.466666666666666,41.77800443,-71.07593377,3,Taunton,0.0,0.0,613
