UNIQUE_ID,Latitude,Longitude,year,month,season,TEMP,DO,risk_score,DO_critical,stress_combo,flow_flag,TEMP_plus2,DO_plus2,watershed
W2900,42.43953233,-72.04115765,2019.0,7.0,Summer,21.0,8.1,2,0,0,1,23.0,7.6,Chicopee
W2901,42.20154773,-72.04487072,2019.0,7.0,Summer,19.7,4.0,3,1,0,1,21.7,3.5,Chicopee
W2902,42.05048837,-72.09627321,2019.0,7.0,Summer,19.6,8.2,2,0,0,1,21.6,7.699999999999999,Quinebaug
W2904,42.07493076,-71.7950707,2019.0,7.0,Summer,18.2,7.2,2,0,0,1,20.2,6.7,Blackstone
W2903,42.01542185,-71.79841192,2019.0,7.0,Summer,19.8,8.0,2,0,0,1,21.8,7.5,Quinebaug
W2413,42.00792,-71.70506,2019.0,7.0,Summer,19.6,8.2,2,0,0,1,21.6,7.699999999999999,Blackstone
W2905,42.04529263,-71.65201157,2019.0,7.0,Summer,20.7,8.3,2,0,0,1,22.7,7.800000000000001,Blackstone
W2906,42.18795491,-71.62720825,2019.0,7.0,Summer,18.6,8.3,2,0,0,1,20.6,7.800000000000001,Blackstone
W2910,41.95851534,-71.2424628,2019.0,7.0,Summer,21.1,2.3,3,1,0,1,23.1,1.7999999999999998,Taunton
W2466,41.77254787,-71.08494839,2019.0,7.0,Summer,21.0,7.9,2,0,0,1,23.0,7.4,Taunton
W2911,41.77800443,-71.07593377,2019.0,7.0,Summer,20.7,8.1,2,0,0,1,22.7,7.6,Taunton
W0918,42.16028331,-70.78863391,2019.0,7.0,Summer,22.7,7.0,2,0,0,1,24.7,6.5,South Coastal
W2912,42.18764862,-70.76850844,2019.0,7.0,Summer,22.4,3.9,3,1,0,1,24.4,3.4,South Coastal
W2913,42.19862254,-70.83275,2019.0,7.0,Summer,23.8,4.5,3,1,0,1,25.8,4.0,South Coastal
W2886,42.44662969,-71.8181233,2019.0,8.0,Summer,17.3,9.0,2,0,0,1,19.3,8.5,Nashua
W2887,42.61760369,-71.72624143,2019.0,8.0,Summer,17.1,7.4,2,0,0,1,19.1,6.9,Nashua
W2410,42.664623,-71.753811,2019.0,8.0,Summer,17.3,8.4,2,0,0,1,19.3,7.9,Nashua
W2888,42.70288914,-71.75177322,2019.0,8.0,Summer,16.8,8.5,2,0,0,1,18.8,8.0,Nashua
W2889,42.62248944,-71.02018566,2019.0,8.0,Summer,19.5,6.4,2,0,0,1,21.5,5.9,Ipswich
W2890,42.66074776,-70.90371136,2019.0,8.0,Summer,21.0,6.9,2,0,0,1,23.0,6.4,Ipswich
W2287,42.69539254,-72.22718449,2019.0,8.0,Summer,19.3,7.6,2,0,0,1,21.3,7.1,Millers
W2895,42.62069634,-72.39305406,2019.0,8.0,Summer,17.4,8.7,2,0,0,1,19.4,8.2,Millers
W2896,42.38033448,-72.46510155,2019.0,8.0,Summer,19.0,8.9,2,0,0,1,21.0,8.4,Connecticut
W2897,42.44704256,-72.49190917,2019.0,8.0,Summer,21.1,8.2,2,0,0,1,23.1,7.699999999999999,Connecticut
W2898,42.45007437,-72.45260735,2019.0,8.0,Summer,16.8,9.2,2,0,0,1,18.8,8.7,Connecticut
W2899,42.46777728,-72.15673762,2019.0,8.0,Summer,21.0,8.3,2,0,0,1,23.0,7.800000000000001,Chicopee
W2900,42.43953233,-72.04115765,2019.0,8.0,Summer,20.3,8.2,2,0,0,1,22.3,7.699999999999999,Chicopee
W2901,42.20154773,-72.04487072,2019.0,8.0,Summer,21.5,2.0,3,1,0,1,23.5,1.5,Chicopee
W2902,42.05048837,-72.09627321,2019.0,8.0,Summer,19.9,8.4,2,0,0,1,21.9,7.9,Quinebaug
W2904,42.07493076,-71.7950707,2019.0,8.0,Summer,19.7,7.0,2,0,0,1,21.7,6.5,Blackstone
W2903,42.01542185,-71.79841192,2019.0,8.0,Summer,21.0,8.0,2,0,0,1,23.0,7.5,Quinebaug
W2413,42.00792,-71.70506,2019.0,8.0,Summer,22.6,8.1,2,0,0,1,24.6,7.6,Blackstone
W2905,42.04529263,-71.65201157,2019.0,8.0,Summer,24.2,7.6,2,0,0,1,26.2,7.1,Blackstone
W2906,42.18795491,-71.62720825,2019.0,8.0,Summer,22.8,4.9,3,1,0,1,24.8,4.4,Blackstone
W2910,41.95851534,-71.2424628,2019.0,8.0,Summer,14.0,4.3,3,1,0,1,16.0,3.8,Taunton
W2466,41.77254787,-71.08494839,2019.0,8.0,Summer,14.5,9.0,2,0,0,1,16.5,8.5,Taunton
W2911,41.77800443,-71.07593377,2019.0,8.0,Summer,15.4,7.7,2,0,0,1,17.4,7.2,Taunton
W0918,42.16028331,-70.78863391,2019.0,8.0,Summer,16.0,8.7,2,0,0,1,18.0,8.2,South Coastal
W2912,42.18764862,-70.76850844,2019.0,8.0,Summer,17.0,2.0,3,1,0,1,19.0,1.5,South Coastal
W2913,42.19862254,-70.83275,2019.0,8.0,Summer,17.9,5.6,2,0,0,1,19.9,5.1,South Coastal
W2886,42.44662969,-71.8181233,2019.0,9.0,Fall,16.1,9.3,1,0,0,1,18.1,8.8,Nashua
W2887,42.61760369,-71.72624143,2019.0,9.0,Fall,15.6,8.0,1,0,0,1,17.6,7.5,Nashua
W2410,42.664623,-71.753811,2019.0,9.0,Fall,15.6,8.8,1,0,0,1,17.6,8.3,Nashua
W2888,42.70288914,-71.75177322,2019.0,9.0,Fall,15.0,8.6,1,0,0,1,17.0,8.1,Nashua
W2889,42.62248944,-71.02018566,2019.0,9.0,Fall,17.0,6.8,1,0,0,1,19.0,6.3,Ipswich
W2890,42.66074776,-70.90371136,2019.0,9.0,Fall,17.9,8.5,1,0,0,1,19.9,8.0,Ipswich
W2287,42.69539254,-72.22718449,2019.0,9.0,Fall,14.9,8.6,1,0,0,1,16.9,8.1,Millers
W2895,42.62069634,-72.39305406,2019.0,9.0,Fall,13.5,9.9,1,0,0,1,15.5,9.4,Millers
W2896,42.38033448,-72.46510155,2019.0,9.0,Fall,14.9,10.0,1,0,0,1,16.9,9.5,Connecticut
W2897,42.44704256,-72.49190917,2019.0,9.0,Fall,17.1,9.3,1,0,0,1,19.1,8.8,Connecticut
W2898,42.45007437,-72.45260735,2019.0,9.0,Fall,14.0,10.1,1,0,0,1,16.0,9.6,Connecticut
W2899,42.46777728,-72.15673762,2019.0,9.0,Fall,15.9,9.3,1,0,0,1,17.9,8.8,Chicopee
W2900,42.43953233,-72.04115765,2019.0,9.0,Fall,16.3,8.9,1,0,0,1,18.3,8.4,Chicopee
W2901,42.20154773,-72.04487072,2019.0,9.0,Fall,14.3,3.2,2,1,0,1,16.3,2.7,Chicopee
W2902,42.05048837,-72.09627321,2019.0,9.0,Fall,13.1,9.9,1,0,0,1,15.1,9.4,Quinebaug
W2904,42.07493076,-71.7950707,2019.0,9.0,Fall,14.4,7.8,1,0,0,1,16.4,7.3,Blackstone
W2903,42.01542185,-71.79841192,2019.0,9.0,Fall,15.7,9.2,1,0,0,1,17.7,8.7,Quinebaug
W2413,42.00792,-71.70506,2019.0,9.0,Fall,16.8,9.3,1,0,0,1,18.8,8.8,Blackstone
W2905,42.04529263,-71.65201157,2019.0,9.0,Fall,17.7,8.8,1,0,0,1,19.7,8.3,Blackstone
W2906,42.18795491,-71.62720825,2019.0,9.0,Fall,16.9,4.2,2,1,0,1,18.9,3.7,Blackstone
W2910,41.95851534,-71.2424628,2019.0,9.0,Fall,17.6,3.0,2,1,0,1,19.6,2.5,Taunton
W2466,41.77254787,-71.08494839,2019.0,9.0,Fall,17.1,8.1,1,0,0,1,19.1,7.6,Taunton
W2911,41.77800443,-71.07593377,2019.0,9.0,Fall,18.3,6.6,1,0,0,1,20.3,6.1,Taunton
W0918,42.16028331,-70.78863391,2019.0,9.0,Fall,18.7,7.6,1,0,0,1,20.7,7.1,South Coastal
W2912,42.18764862,-70.76850844,2019.0,9.0,Fall,19.1,1.5,2,1,0,1,21.1,1.0,South Coastal
