UNIQUE_ID,Latitude,Longitude,TEMP,DO,flow_flag,risk_score,season,year,month,is_summer,DO_critical,stress_combo
W1786,42.0941279,-72.56911519,23.9,7.7,1,2,Summer,2019.0,6.0,1,0,0
W2853,42.07465812,-72.58070026,23.7,8.4,1,2,Summer,2019.0,6.0,1,0,0
W1794,42.03629979,-72.58362237,19.9,8.4,1,2,Summer,2019.0,6.0,1,0,0
W2842,42.70281576,-72.45189591,18.1,7.7,1,2,Summer,2019.0,7.0,1,0,0
W1782,42.62058327,-72.54988746,17.6,9.6,1,2,Summer,2019.0,7.0,1,0,0
W2843,42.5098257,-72.66169041,15.6,9.4,1,2,Summer,2019.0,7.0,1,0,0
W1063,42.47836238,-72.61893594,21.0,5.0,1,2,Summer,2019.0,7.0,1,0,0
W2844,42.48176265,-72.60513286,18.7,2.9,1,3,Summer,2019.0,7.0,1,1,0
W1061,42.36655405,-72.60488814,24.3,6.0,1,2,Summer,2019.0,7.0,1,0,0
W1796,42.31899322,-72.66514075,23.0,9.6,1,2,Summer,2019.0,7.0,1,0,0
W2845,42.37683842,-72.49492563,18.4,8.4,1,2,Summer,2019.0,7.0,1,0,0
W2846,42.41550849,-72.51258326,19.1,9.0,1,2,Summer,2019.0,7.0,1,0,0
W2854,42.41118008,-72.5674643,19.0,7.5,1,2,Summer,2019.0,7.0,1,0,0
W1050,42.38639934,-72.5503928,22.2,7.6,1,2,Summer,2019.0,7.0,1,0,0
W2847,42.38339502,-72.5850062,26.5,7.3,1,2,Summer,2019.0,7.0,1,0,0
W1051,42.33278638,-72.57858317,23.1,7.6,1,2,Summer,2019.0,7.0,1,0,0
W2848,42.28071001,-72.4252915,18.7,8.5,1,2,Summer,2019.0,7.0,1,0,0
W1055,42.28189876,-72.42726497,19.7,8.8,1,2,Summer,2019.0,7.0,1,0,0
W2849,42.27820079,-72.57541581,22.5,8.7,1,2,Summer,2019.0,7.0,1,0,0
W2850,42.28230014,-72.58708557,19.0,9.1,1,2,Summer,2019.0,7.0,1,0,0
W1065,42.28349688,-72.64060074,20.5,8.0,1,2,Summer,2019.0,7.0,1,0,0
W2851,42.27748219,-72.65403879,23.4,8.0,1,2,Summer,2019.0,7.0,1,0,0
W1792,42.24704007,-72.58037808,26.8,7.5,1,2,Summer,2019.0,7.0,1,0,0
W2852,42.21396566,-72.59514866,20.4,8.7,1,2,Summer,2019.0,7.0,1,0,0
W2855,42.19157879,-72.59779736,17.2,9.4,1,2,Summer,2019.0,7.0,1,0,0
W1786,42.0941279,-72.56911519,26.7,6.2,1,2,Summer,2019.0,7.0,1,0,0
W2853,42.07465812,-72.58070026,27.1,6.7,1,2,Summer,2019.0,7.0,1,0,0
W1794,42.03629979,-72.58362237,23.1,8.0,1,2,Summer,2019.0,7.0,1,0,0
W2842,42.70281576,-72.45189591,19.6,7.3,1,2,Summer,2019.0,8.0,1,0,0
W1782,42.62058327,-72.54988746,19.3,9.5,1,2,Summer,2019.0,8.0,1,0,0
W2843,42.5098257,-72.66169041,16.8,8.9,1,2,Summer,2019.0,8.0,1,0,0
W1063,42.47836238,-72.61893594,20.4,4.8,1,3,Summer,2019.0,8.0,1,1,0
W2844,42.48176265,-72.60513286,19.3,3.2,1,3,Summer,2019.0,8.0,1,1,0
