SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical,composite_risk_score,risk_category
W1008,42.32097918,-72.17469434,Chicopee,2008.0,2008.0,6,21.183333333333337,8.183333333333332,2.0,23.183333333333337,7.683333333333333,0,0,0,0.0,,10.591666666666669,LOW
W1009,42.28485171,-72.21589977,Chicopee,2008.0,2008.0,4,20.35,9.025,1.75,22.35,8.525,0,0,0,0.0,,10.175,LOW
W1011,42.21007678,-72.24555871,Chicopee,2008.0,2008.0,5,19.86,9.16,1.6,21.86,8.66,0,0,0,0.0,,9.93,LOW
W1012,42.24326567,-72.33476023,Chicopee,2008.0,2008.0,7,14.5,10.142857142857142,1.8571428571428572,16.5,9.642857142857142,0,0,0,0.0,,7.25,LOW
W1013,42.2107065,-72.34642165,Chicopee,2008.0,2008.0,6,17.816666666666666,9.3,2.0,19.816666666666663,8.799999999999999,0,0,0,0.0,,8.908333333333333,LOW
W1014,42.19155828,-72.34983401,Chicopee,2008.0,2008.0,6,22.8,8.133333333333333,2.0,24.8,7.633333333333333,0,0,0,0.0,,11.4,MODERATE
W1015,42.17314464,-72.34600381,Chicopee,2008.0,2008.0,6,21.383333333333336,8.700000000000001,2.0,23.383333333333336,8.200000000000001,0,0,0,0.0,,10.691666666666668,LOW
W1017,42.18086003,-71.73011265,Blackstone,2008.0,2008.0,5,17.94,8.879999999999999,1.6,19.94,8.379999999999999,0,0,0,0.0,,8.97,LOW
W1018,42.19910034,-71.69396462,Blackstone,2008.0,2008.0,8,21.4,7.7375,1.75,23.4,7.2375,0,0,0,0.0,,10.7,LOW
W1022,42.02414862,-71.48740249,Blackstone,2008.0,2008.0,5,14.66,8.620000000000001,1.6,16.66,8.120000000000001,0,0,0,0.0,,7.33,LOW
W1023,42.01664829,-71.5384768,Blackstone,2008.0,2008.0,8,20.875,8.15,1.75,22.875,7.65,0,0,0,0.0,,10.4375,LOW
W1025,42.08439258,-71.69699739,Blackstone,2008.0,2008.0,7,20.342857142857145,8.057142857142857,1.8571428571428572,22.342857142857145,7.557142857142857,0,0,0,0.0,,10.171428571428573,LOW
W1031,42.16060737,-72.51019767,Chicopee,2008.0,2008.0,9,22.58888888888889,8.555555555555555,1.8888888888888888,24.58888888888889,8.055555555555555,0,0,0,0.0,,11.294444444444444,MODERATE
W1033,42.17771167,-72.37458989,Chicopee,2008.0,2008.0,6,20.983333333333334,8.633333333333333,2.0,22.983333333333334,8.133333333333333,0,0,0,0.0,,10.491666666666667,LOW
W1036,42.23246451,-72.0163834,Chicopee,2008.0,2008.0,9,18.77777777777778,5.888888888888889,1.6666666666666667,20.77777777777778,5.388888888888889,0,4,4,0.0,0.0,9.38888888888889,LOW
W1038,42.22570961,-72.04999618,Chicopee,2008.0,2008.0,7,23.114285714285717,7.9,1.8571428571428572,25.114285714285717,7.4,0,0,0,0.0,,11.557142857142859,MODERATE
W1039,42.2449869,-72.07374903,Chicopee,2008.0,2008.0,5,19.46,8.08,2.0,21.46,7.58,0,0,0,0.0,,9.73,LOW
W1083,42.14509062,-72.51299232,Chicopee,2005.0,2005.0,8,18.5375,6.0125,1.25,20.5375,5.5125,2,2,0,25.0,0.0,21.76875,MODERATE
W1090,42.30447696,-71.36772536,Concord (SuAsCo),2005.0,2005.0,5,20.98,6.0600000000000005,1.2,22.98,5.5600000000000005,1,2,1,20.0,100.0,20.490000000000002,MODERATE
W1221,42.14096257,-72.12021662,Quinebaug,2005.0,2005.0,10,19.92,6.32,1.3,21.92,5.82,3,3,0,30.0,0.0,24.96,MODERATE
W1240,42.20864325,-71.78210772,Blackstone,2008.0,2008.0,8,19.9375,7.3875,1.75,21.9375,6.8875,0,0,0,0.0,,9.96875,LOW
W1241,42.18223431,-71.70488014,Blackstone,2008.0,2008.0,5,17.82,8.66,1.6,19.82,8.16,0,0,0,0.0,,8.91,LOW
W1242,42.17728889,-71.68788468,Blackstone,2008.0,2020.0,7,18.228571428571428,8.9,1.4285714285714286,20.228571428571428,8.4,0,0,0,0.0,,9.114285714285714,LOW
W1243,42.17384662,-71.68057473,Blackstone,2008.0,2008.0,5,18.98,8.66,1.6,20.98,8.16,0,0,0,0.0,,9.49,LOW
W1244,42.12965013,-71.63645321,Blackstone,2008.0,2008.0,8,20.4875,6.8375,1.75,22.4875,6.3375,0,1,1,0.0,0.0,10.24375,LOW
W1255,42.20640574,-71.78097604,Blackstone,2008.0,2008.0,8,19.9625,6.8625,1.75,21.9625,6.3625,0,0,0,0.0,,9.98125,LOW
W1282,42.29062266,-71.75867408,Blackstone,2008.0,2008.0,7,17.314285714285713,8.914285714285715,1.8571428571428572,19.314285714285713,8.414285714285715,0,0,0,0.0,,8.657142857142857,LOW
W1283,42.66344944,-71.70914571,Nashua,2008.0,2008.0,6,18.75,7.65,2.0,20.75,7.1499999999999995,0,0,0,0.0,,9.375,LOW
W1295,42.05363901,-71.84807799,French,2005.0,2016.0,33,23.16969696969697,6.312121212121212,1.7272727272727273,25.16969696969697,5.824242424242424,6,6,0,18.181818181818183,0.0,20.67575757575758,HIGH
W1298,42.52614864,-71.60978989,Nashua,2005.0,2005.0,8,16.8625,9.1125,2.125,18.8625,8.6125,1,1,0,12.5,0.0,14.68125,MODERATE
W1299,42.5117797,-71.68117943,Nashua,2005.0,2005.0,7,16.442857142857143,8.77142857142857,1.1428571428571428,18.442857142857143,8.27142857142857,1,2,1,14.285714285714285,100.0,15.364285714285714,MODERATE
W1300,42.2565633,-71.51337647,Concord (SuAsCo),2005.0,2005.0,10,14.89,3.86,2.8,16.89,3.3600000000000003,8,8,0,80.0,0.0,47.445,MODERATE
W1301,42.26417366,-71.42338611,Concord (SuAsCo),2005.0,2005.0,5,23.0,5.2,2.6,25.0,4.7,3,3,0,60.0,0.0,41.5,HIGH
W1302,42.42837406,-71.38869821,Concord (SuAsCo),2005.0,2005.0,8,16.7875,9.5875,0.125,18.7875,9.0875,1,1,0,12.5,0.0,14.64375,MODERATE
W1426,42.26230119,-71.84822737,Blackstone,2019.0,2020.0,2,14.9,9.05,1.0,16.9,8.55,0,0,0,0.0,,7.45,LOW
W1429,42.1231178,-71.59908641,Blackstone,2020.0,2020.0,1,16.2,0.9,3.0,18.2,0.4,1,1,0,100.0,0.0,58.1,MODERATE
W1432,42.17306202,-71.62974844,Blackstone,2008.0,2008.0,7,21.885714285714283,7.185714285714285,2.0,23.885714285714283,6.685714285714285,1,1,0,14.285714285714285,0.0,18.085714285714282,MODERATE
W1439,42.17268159,-71.62792867,Blackstone,2008.0,2008.0,7,17.457142857142856,8.27142857142857,1.7142857142857142,19.457142857142856,7.771428571428571,0,0,0,0.0,,8.728571428571428,LOW
W1468,42.27406018,-71.63224204,Concord (SuAsCo),2006.0,2006.0,5,18.34,8.78,1.6,20.34,8.28,0,0,0,0.0,,9.17,LOW
W1469,42.28350805,-71.63858701,Concord (SuAsCo),2006.0,2006.0,5,18.44,7.9,1.6,20.44,7.4,0,0,0,0.0,,9.22,LOW
W1470,42.32036993,-71.63553499,Concord (SuAsCo),2006.0,2006.0,5,17.46,6.640000000000001,1.8,19.46,6.14,1,1,0,20.0,0.0,18.73,MODERATE
W1471,42.32949677,-71.63006336,Concord (SuAsCo),2006.0,2006.0,5,17.44,8.440000000000001,1.6,19.44,7.94,0,1,1,0.0,0.0,8.72,LOW
W1472,42.34151216,-71.61641,Concord (SuAsCo),2006.0,2006.0,5,17.8,9.0,1.6,19.8,8.5,0,0,0,0.0,,8.9,LOW
W1473,42.3465007,-71.61460331,Concord (SuAsCo),2006.0,2006.0,5,17.740000000000002,8.620000000000001,1.6,19.74,8.120000000000001,0,0,0,0.0,,8.870000000000001,LOW
W1474,42.38030934,-71.58613633,Concord (SuAsCo),2006.0,2006.0,5,18.26,7.639999999999999,1.6,20.26,7.139999999999999,0,0,0,0.0,,9.13,LOW
W1475,42.39979789,-71.54598569,Concord (SuAsCo),2006.0,2006.0,5,18.18,7.7,1.6,20.18,7.2,0,0,0,0.0,,9.09,LOW
W1476,42.40462155,-71.52654108,Concord (SuAsCo),2006.0,2006.0,5,18.66,8.459999999999999,1.6,20.66,7.959999999999999,0,0,0,0.0,,9.33,LOW
W1477,42.41163442,-71.50844219,Concord (SuAsCo),2006.0,2006.0,5,18.8,6.94,1.6,20.8,6.44,0,1,1,0.0,0.0,9.4,LOW
W1478,42.4231785,-71.47472183,Concord (SuAsCo),2006.0,2006.0,4,17.575,7.675,1.5,19.575,7.175,0,0,0,0.0,,8.7875,LOW
W1479,42.44086923,-71.42935628,Concord (SuAsCo),2006.0,2006.0,5,19.74,8.620000000000001,1.6,21.74,8.120000000000001,0,0,0,0.0,,9.87,LOW
W1480,42.3386459,-71.39498427,Concord (SuAsCo),2006.0,2006.0,5,18.94,8.08,1.6,20.94,7.58,0,0,0,0.0,,9.47,LOW
W1481,42.44111379,-71.36805603,Concord (SuAsCo),2006.0,2006.0,5,20.48,7.459999999999999,1.8,22.48,6.959999999999999,1,1,0,20.0,0.0,20.240000000000002,MODERATE
W1482,42.47116456,-71.34989446,Concord (SuAsCo),2006.0,2006.0,5,19.68,7.76,1.6,21.68,7.26,0,0,0,0.0,,9.84,LOW
W1483,42.50902782,-71.31411783,Concord (SuAsCo),2006.0,2006.0,5,20.58,8.68,1.6,22.58,8.18,0,0,0,0.0,,10.29,LOW
W1485,42.55747509,-71.28252509,Concord (SuAsCo),2006.0,2006.0,5,20.22,8.68,1.6,22.22,8.18,0,0,0,0.0,,10.11,LOW
W1486,42.58482438,-71.28718593,Concord (SuAsCo),2006.0,2006.0,5,20.1,8.459999999999999,1.6,22.1,7.959999999999999,0,0,0,0.0,,10.05,LOW
W1487,42.64172611,-71.30284563,Concord (SuAsCo),2006.0,2010.0,15,15.7,10.206666666666669,1.3333333333333333,17.7,9.706666666666669,0,0,0,0.0,,7.85,LOW
W1488,42.57826214,-71.33253012,Concord (SuAsCo),2006.0,2016.0,12,16.708333333333332,8.108333333333333,1.5833333333333333,18.708333333333332,7.608333333333333,2,2,0,16.666666666666664,0.0,16.6875,MODERATE
W1489,42.63380122,-71.30119731,Concord (SuAsCo),2006.0,2016.0,12,15.933333333333332,9.15,1.4166666666666667,17.933333333333334,8.65,0,0,0,0.0,,7.966666666666666,LOW
W1596,42.02194765,-71.56822441,Blackstone,2006.0,2008.0,9,19.211111111111112,7.199999999999999,1.8888888888888888,21.211111111111112,6.699999999999999,1,1,0,11.11111111111111,0.0,15.161111111111111,MODERATE
W1717,42.34007232,-72.15953425,Chicopee,2014.0,2014.0,3,18.933333333333337,8.299999999999999,1.6666666666666667,20.933333333333337,7.8,0,0,0,0.0,,9.466666666666669,LOW
W1753,42.30377694,-71.7626168,Blackstone,2008.0,2008.0,7,16.614285714285714,9.042857142857144,1.8571428571428572,18.614285714285717,8.542857142857143,0,0,0,0.0,,8.307142857142857,LOW
W1754,42.21273236,-72.22875627,Chicopee,2014.0,2014.0,3,21.4,8.799999999999999,1.6666666666666667,23.4,8.299999999999999,0,0,0,0.0,,10.7,LOW
W1755,42.0448378,-71.62194682,Blackstone,2008.0,2008.0,7,18.7,8.6,1.8571428571428572,20.7,8.1,0,0,0,0.0,,9.35,LOW
W1756,42.02727016,-71.48547213,Blackstone,2008.0,2008.0,7,16.642857142857142,8.428571428571429,1.8571428571428572,18.642857142857142,7.928571428571429,0,0,0,0.0,,8.321428571428571,LOW
W1757,42.46999426,-72.32259937,Chicopee,2014.0,2014.0,3,16.099999999999998,9.7,1.3333333333333333,18.1,9.2,0,0,0,0.0,,8.049999999999999,LOW
W1758,42.28029336,-71.74620407,Blackstone,2008.0,2008.0,7,20.914285714285715,7.485714285714286,1.8571428571428572,22.914285714285715,6.985714285714286,0,0,0,0.0,,10.457142857142857,LOW
W1759,42.18115577,-71.64793794,Blackstone,2008.0,2008.0,4,15.7,8.475,1.5,17.7,7.975,0,0,0,0.0,,7.85,LOW
W1760,42.09326799,-71.5191956,Blackstone,2008.0,2008.0,7,15.642857142857142,8.142857142857142,1.8571428571428572,17.642857142857142,7.642857142857143,0,0,0,0.0,,7.821428571428571,LOW
W1761,42.32499793,-71.74088627,Blackstone,2008.0,2008.0,7,16.62857142857143,8.914285714285715,1.8571428571428572,18.62857142857143,8.414285714285715,0,0,0,0.0,,8.314285714285715,LOW
W1762,42.0193983,-71.5344052,Blackstone,2008.0,2008.0,7,17.87142857142857,8.628571428571428,1.8571428571428572,19.87142857142857,8.128571428571428,0,0,0,0.0,,8.935714285714285,LOW
W1763,42.19289465,-71.75182267,Blackstone,2008.0,2008.0,8,19.9375,7.325,1.75,21.9375,6.825,0,0,0,0.0,,9.96875,LOW
W1764,42.13913312,-71.63971462,Blackstone,2008.0,2008.0,9,20.38888888888889,7.2555555555555555,1.7777777777777777,22.38888888888889,6.7555555555555555,0,1,1,0.0,0.0,10.194444444444445,LOW
W1765,42.05495698,-71.61629976,Blackstone,2008.0,2008.0,5,18.92,7.92,1.6,20.92,7.42,0,0,0,0.0,,9.46,LOW
W1766,42.01686344,-71.54548172,Blackstone,2008.0,2008.0,8,20.775,7.45,1.75,22.775,6.95,0,0,0,0.0,,10.3875,LOW
W1767,42.18277682,-71.76604587,Blackstone,2008.0,2020.0,9,17.966666666666665,8.822222222222223,1.6666666666666667,19.966666666666665,8.322222222222223,0,0,0,0.0,,8.983333333333333,LOW
W1768,42.07884462,-71.65065318,Blackstone,2008.0,2008.0,8,15.925,4.625,2.5,17.925,4.125,6,6,0,75.0,0.0,45.4625,MODERATE
W1769,42.18498134,-71.71206258,Blackstone,2008.0,2008.0,7,16.87142857142857,7.942857142857143,1.8571428571428572,18.87142857142857,7.442857142857143,0,0,0,0.0,,8.435714285714285,LOW
W1770,41.99661131,-71.55765871,Blackstone,2008.0,2008.0,8,22.4,8.225,1.75,24.4,7.725,0,0,0,0.0,,11.2,MODERATE
W1771,42.01238549,-71.51035869,Blackstone,2008.0,2008.0,8,21.4875,8.325,1.75,23.4875,7.825,0,0,0,0.0,,10.74375,LOW
W1772,42.01550267,-71.49304478,Blackstone,2008.0,2008.0,7,17.414285714285715,5.885714285714286,1.7142857142857142,19.414285714285715,5.385714285714286,0,3,3,0.0,0.0,8.707142857142857,LOW
W1776,42.20670671,-71.85281517,Blackstone,2019.0,2020.0,2,15.25,9.05,1.0,17.25,8.55,0,0,0,0.0,,7.625,LOW
W1780,42.57574839,-71.83355874,Nashua,2008.0,2008.0,6,10.15,11.25,1.0,12.15,10.75,0,0,0,0.0,,5.075,LOW
W1806,42.71283339,-71.54870868,Nashua,2008.0,2008.0,8,20.5375,7.325,1.75,22.5375,6.825,0,0,0,0.0,,10.26875,LOW
W1808,42.58212265,-71.90236498,Nashua,2008.0,2008.0,6,21.333333333333332,7.983333333333333,2.0,23.333333333333332,7.483333333333333,0,0,0,0.0,,10.666666666666666,LOW
W1809,42.60819171,-71.87067955,Nashua,2008.0,2008.0,6,20.21666666666667,8.383333333333333,2.0,22.21666666666667,7.883333333333334,0,0,0,0.0,,10.108333333333334,LOW
W1812,42.5442135,-71.65737327,Nashua,2008.0,2008.0,6,21.78333333333333,7.05,2.0,23.78333333333333,6.55,0,0,0,0.0,,10.891666666666666,LOW
W1813,42.56211361,-71.61061607,Nashua,2008.0,2008.0,6,22.03333333333333,5.966666666666666,2.1666666666666665,24.03333333333333,5.466666666666666,1,2,1,16.666666666666664,100.0,19.349999999999998,MODERATE
W1816,42.69634164,-71.61144559,Nashua,2008.0,2008.0,7,17.714285714285715,6.714285714285714,1.5714285714285714,19.714285714285715,6.214285714285714,0,0,0,0.0,,8.857142857142858,LOW
