SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical,composite_risk_score,risk_category
W2401,42.42130109,-71.16909401,Mystic,2013.0,2013.0,3,20.5,8.533333333333333,1.3333333333333333,22.5,8.033333333333333,0,0,0,0.0,,10.25,LOW
W2509,42.1049813,-71.4584048,Charles,2015.0,2015.0,3,18.466666666666665,5.466666666666666,2.0,20.466666666666665,4.966666666666667,2,2,0,66.66666666666666,0.0,42.56666666666666,MODERATE
W2514,42.3049376,-71.2338344,Charles,2015.0,2015.0,3,15.733333333333334,8.4,1.6666666666666667,17.733333333333334,7.9,0,0,0,0.0,,7.866666666666667,LOW
W2518,42.3900984,-71.1967182,Charles,2015.0,2015.0,3,20.433333333333337,8.666666666666666,1.6666666666666667,22.433333333333337,8.166666666666666,0,0,0,0.0,,10.216666666666669,LOW
W2530,42.1217687,-71.3654398,Charles,2015.0,2015.0,3,17.333333333333332,3.0666666666666664,2.0,19.333333333333332,2.5666666666666664,2,3,1,66.66666666666666,50.0,41.99999999999999,MODERATE
W2537,42.1870159,-71.3758224,Charles,2015.0,2015.0,3,18.066666666666663,4.233333333333333,2.0,20.066666666666663,3.733333333333333,2,2,0,66.66666666666666,0.0,42.36666666666666,MODERATE
W2670,42.4102831,-71.2674529,Charles,2017.0,2017.0,17,23.223529411764705,7.464705882352941,1.0,25.223529411764705,6.964705882352941,1,2,1,5.88235294117647,100.0,14.552941176470588,MODERATE
W2704,42.4446923,-71.1158183,Mystic,2017.0,2017.0,31,17.051612903225806,7.480645161290322,1.870967741935484,19.05161290322581,6.987096774193549,5,5,0,16.129032258064516,0.0,16.59032258064516,MODERATE
W2772,42.23453213,-71.12261455,Neponset,2017.0,2017.0,1,3.2,11.4,1.0,5.2,10.9,0,0,0,0.0,,1.6,LOW
W2837,42.40999949,-71.151994,Mystic,2019.0,2019.0,35,19.17142857142857,6.414285714285715,1.3428571428571427,21.17142857142857,5.917142857142857,10,15,5,28.57142857142857,50.0,23.87142857142857,MODERATE
W2839,42.40600014,-71.15899647,Mystic,2019.0,2019.0,29,19.851724137931036,6.306896551724138,1.4482758620689655,21.851724137931036,5.806896551724138,10,12,2,34.48275862068966,20.0,27.167241379310347,MODERATE
W3003,42.38881334,-71.29698568,Charles,2020.0,2020.0,2,21.6,6.65,2.0,23.6,6.15,0,0,0,0.0,,10.8,LOW
W3005,42.06029614,-71.42140501,Charles,2020.0,2020.0,2,22.05,8.1,2.0,24.05,7.6,0,0,0,0.0,,11.025,MODERATE
W3006,42.20924747,-71.18482101,Neponset,2020.0,2020.0,2,21.0,6.8,2.0,23.0,6.3,0,0,0,0.0,,10.5,LOW
